Testing INSERT type cast

id|height    |nickname   |
1 |150.000000|'20'       |
2 |150.900000|'30.400000'|
3 |120.400000|'hello'    |
3 |120.000000|'hello'    |


Testing 50 inserts

id|height   |nickname|
1 |1.000000 |'1'     |
2 |2.000000 |'2'     |
3 |3.000000 |'3'     |
4 |4.000000 |'4'     |
5 |5.000000 |'5'     |
6 |6.000000 |'6'     |
7 |7.000000 |'7'     |
8 |8.000000 |'8'     |
9 |9.000000 |'9'     |
10|10.000000|'10'    |
11|11.000000|'11'    |
12|12.000000|'12'    |
13|13.000000|'13'    |
14|14.000000|'14'    |
15|15.000000|'15'    |
16|16.000000|'16'    |
17|17.000000|'17'    |
18|18.000000|'18'    |
19|19.000000|'19'    |
20|20.000000|'20'    |
21|21.000000|'21'    |
22|22.000000|'22'    |
23|23.000000|'23'    |
24|24.000000|'24'    |
25|25.000000|'25'    |
26|26.000000|'26'    |
27|27.000000|'27'    |
28|28.000000|'28'    |
29|29.000000|'29'    |
30|30.000000|'30'    |
31|31.000000|'31'    |
32|32.000000|'32'    |
33|33.000000|'33'    |
34|34.000000|'34'    |
35|35.000000|'35'    |
36|36.000000|'36'    |
37|37.000000|'37'    |
38|38.000000|'38'    |
39|39.000000|'39'    |
40|40.000000|'40'    |
41|41.000000|'41'    |
42|42.000000|'42'    |
43|43.000000|'43'    |
44|44.000000|'44'    |
45|45.000000|'45'    |
46|46.000000|'46'    |
47|47.000000|'47'    |
48|48.000000|'48'    |
49|49.000000|'49'    |
50|50.000000|'50'    |
